code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
POLD51H3,SOCIAL_SCI,,This seminar course explores selected issues of Canadian politics from a comparative perspective. The topics in this course vary depending on the instructor. Areas of Focus: Canadian Government and Politics; Comparative Politics,,[(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in POL courses],,Topics in Canadian and Comparative Politics,,
POLD52H3,SOCIAL_SCI,,"Immigration has played a central role in Canada's development. This course explores how policies aimed at regulating migration have both reflected and helped construct conceptions of Canadian national identity. We will pay particular attention to the politics of immigration policy- making, focusing on the role of the state and social actors. Areas of Focus: Canadian Government and Politics; Public Policy",,[[(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in POL or PPG courses]] or [15.0 credits including SOCB60H3],,Immigration and Canadian Political Development,,
POLD53H3,SOCIAL_SCI,,"Why do Canadians disagree in their opinions about abortion, same-sex marriage, crime and punishment, welfare, taxes, immigration, the environment, religion, and many other subjects? This course examines the major social scientific theories of political disagreement and applies these theories to an analysis of political disagreement in Canada. Area of Focus: Canadian Government and Politics",STAB23H3 or equivalent,[(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in POL courses],,Political Disagreement in Canada,,
POLD54H3,SOCIAL_SCI,University-Based Experience,"The campuses of the University of Toronto are situated on the territory of the Michi-Saagiig Nation (one of the nations that are a part of the Nishnaabeg). This course will introduce students to the legal, political, and socio-economic structures of the Michi-Saagiig Nishnaabeg Nation and discuss its relations with other Indigenous nations and confederacies, and with the Settler societies with whom the Michi-Saagiig Nishnaabeg have had contact since 1492. In an era of reconciliation, it is imperative for students to learn and understand the Indigenous nation upon whose territory we are meeting and learning. Therefore, course readings will address both Michi-Saagiig Nishnaabeg and Settler contexts. In addition to literature, there will be guest speakers from the current six (6) Michi-Saagiig Nishnaabeg communities that exist: Alderville, Mississaugas of the Credit, Mississaugi 8, Oshkigamig (Curve Lake), Pamitaashkodeyong (Burns/Hiawatha), and Scugog.",POLC52H3 or POL308H1,[(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in Political Science (POL and PPG courses)],,Michi-Saagiig Nishnaabeg Nation Governance and Politics,,
POLD55H3,SOCIAL_SCI,,"This seminar provides an in-depth examination of the politics of inequality in Canada, and the role of the Canadian political-institutional framework in contributing to political, social and economic (in)equality. The focus will be on diagnosing how Canada’s political institutions variously impede and promote equitable treatment of different groups of Canadians (such as First Nations, women, racial and minority groups) and the feasibility of possible institutional and policy reforms to promote goals of social and economic equity. Area of Focus: Canadian Government and Politics",,[(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in POL courses],,The Politics of Equality and Inequality in Canada,,
POLD56H3,QUANT,,"This course applies tools from computational social science to the collection and analysis of political data, with a particular focus on the computational analysis of text. Students are expected to propose, develop, carry out, and present a research project in the field of computational social science. Area of Focus: Quantitative and Qualitative Analysis",,[STAB23H3 or equivalent] and 1.5 credit at the C-level,,Politics and Computational Social Science,,
POLD58H3,SOCIAL_SCI,,"This course examines the recent rise of ethnic nationalism in western liberal democracies, with a particular focus on the US, Canada, UK and France. It discusses the different perspectives on what is behind the rise of nationalism and populism, including economic inequality, antipathy with government, immigration, the role of political culture and social media. Areas of Focus: Canadian Government and Politics",POLC58H3,1.0 credit at the C-level in POL or PPG courses,,The New Nationalism in Liberal Democracies,,
POLD59H3,SOCIAL_SCI,,"An in-depth analysis of the place and rights of disabled persons in contemporary society. Course topics include historic, contemporary, and religious perspectives on persons with disabilities; the political organization of persons with disabilities; media presentation of persons with disabilities; and the role of legislatures and courts in the provision of rights of labour force equality and social service accessibility for persons with disabilities. Area of Focus: Canadian Government and Politics",,"8.0 credits, of which at least 1.5 credits must be at the C- or D-level",,Politics of Disability,,
POLD67H3,SOCIAL_SCI,,"This course critically examines the relationship between politics, rationality, and public policy-making. The first half of the course surveys dominant rational actor models, critiques of these approaches, and alternative perspectives. The second half of the course explores pathological policy outcomes, arrived at through otherwise rational procedures. Areas of Focus: Comparative Politics; Political Theory; Public Policy",,PPGB66H3/(PPGC66H3/(POLC67H3) or [(POLB70H3) and (POLB71H3)] or POLB72H3] or [POLB90H3 and POLB91H3] and [1.0 additional credit at the C-level in POL or PPG courses],,The Limits of Rationality,,
POLD70H3,,,This seminar explores the ways in which political theory can deepen our understanding of contemporary political issues. Topics may include the following: cities and citizenship; multiculturalism and religious pluralism; the legacies of colonialism; global justice; democratic theory; the nature of power. Area of Focus: Political Theory,,[(POLB70H3) or (POLB71H3) or POLB72H3] and [1.5 credits at the C-level in POL courses],,Topics in Political Theory,,
POLD74H3,HIS_PHIL_CUL,,"The Black radical tradition is a modern tradition of thought and action which began after transatlantic slavery’s advent. Contemporary social science and the humanities overwhelmingly portray the Black radical tradition as a critique of Black politics in its liberal, libertarian, and conservative forms. This course unsettles that framing: first by situating the Black radical tradition within Black politics; second, through expanding the boundaries of Black politics to include, yet not be limited to, theories and practices emanating from Canada and the United States; and third, by exploring whether it is more appropriate to claim the study of *the* Black radical tradition or a broader network of intellectual traditions underlying political theories of Black radicalism. Area of Focus: Political Theory",,[POLB72H3 or POLC31H3] and [1.0 credit at the C-level in Political Science (POL and PPG courses)],,The Black Radical Tradition,,
POLD75H3,SOCIAL_SCI,,"This course examines the concept of property as an enduring theme and object of debate in the history of political thought and contemporary political theory. Defining property and justifying its distribution has a significant impact on how citizens experience authority, equality, freedom, and justice. The course will analyze different theoretical approaches to property in light of how they shape and/or challenge relations of class, race, gender, and other lines of difference and inequality.",,"0.5 credit from: [POLB72H3, POLC70H3, POLC71H3 or POLC73H3]",,Property and Power,,
POLD78H3,SOCIAL_SCI,,This seminar course is intended for students interested in deepening their understanding of methodological issues that arise in the study of politics or advanced research techniques.,,POLC78H3 and [1.0 credit at the C-level in POL courses],,Advanced Political Analysis,,
POLD82H3,SOCIAL_SCI,,"Examines political dynamics and challenges through exploration of fiction and other creative works with political science literature. Topics and focus will vary depending on the instructor but could include subjects like climate change, war, migration, gender, multiculturalism, colonialism, etc.",,1.5 credits at the C-level in POL courses,,Politics and Literature,,
POLD87H3,SOCIAL_SCI,,This course is an introduction to rational choice theories with applications to the international realm. A main goal is to introduce analytical constructs frequently used in the political science and political economy literature to understand strategic interaction among states. Area of Focus: International Relations,,POLB80H3 and POLB81H3 and [1.5 credits at the C-level in POL courses],,Rational Choice and International Cooperation,,
POLD89H3,SOCIAL_SCI,,"Examines the challenges faced by humanity in dealing with global environmental problems and the politics of addressing them. Focuses on both the underlying factors that shape the politics of global environmental problems - such as scientific uncertainty, North-South conflict, and globalization - and explores attempts at the governance of specific environmental issues. Area of Focus: International Relations; Public Policy",,[[POLB80H3 and POLB81H3] or ESTB01H3]] and [2.0 credits at the C-level in any courses],POL413H1,Global Environmental Politics,,
POLD90H3,SOCIAL_SCI,,"While domestic and international political factors have discouraged pro human development public policies in much of the global south, there have been some important success stories. This course examines the economic and social policies most successful in contributing to human development and explores the reasons behind these rare cases of relatively successful human development. Areas of Focus: Comparative Politics; Public Policy Same as IDSD90H3",,"[1.0 credit from: IDSB01H3, IDSB04H3, POLB90H3, POLB91H3] and [2.0 credits at the C-level in any courses]",IDSD90H3,Public Policy and Human Development in the Global South,,
POLD91H3,SOCIAL_SCI,,"This course examines contentious politics from a comparative perspective, beginning with the foundational theories of Charles Tilly, Sidney Tarrow, and Doug McAdam. It explores questions such as why people protest, how they organize, and the outcomes of contention. The second half of the course challenges students to examine popular contention across a range of states in Asia, the Middle East, Europe, and Latin America. It asks students to interrogate the applicability of the dynamics of contention framework to illiberal states in a comparative context. Area of Focus: Comparative Politics",,1.5 credits at the C-level in POL courses,POL451H1,Protests and Social Movements in Comparative Perspective,,
POLD92H3,SOCIAL_SCI,,"This course will provide an introduction to theories of why some dictatorships survive while others do not. We will explore theories rooted in regime type, resources, state capacity, parties, popular protest, and leadership. We will then examine the utility of these approaches through in-depth examinations of regime crises in Ethiopia, Iran, China, the USSR, and South Africa. Area of Focus: Comparative Politics",,[POLB90H3 or POLB91H3] and [an additional 2.0 credits at the C-level in any courses],,Survival and Demise of Dictatorships,,
POLD94H3,SOCIAL_SCI,,Area of Focus: Comparative Politics,,POLB90H3 and [POLB91H3 or 0.5 credit at the B-level in IDS courses] and [2.0 credits at the C-level in any courses],,Selected Topics on Developing Areas Topics vary according to instructor.,,
POLD95H3,,University-Based Experience,"A research project under the supervision of a member of faculty that will result in the completion of a substantial report or paper acceptable as an undergraduate senior thesis. Students wishing to undertake a supervised research project in the Winter Session must register in POLD95H3 during the Fall Session. It is the student's responsibility to find a faculty member who is willing to supervise the project, and the student must obtain consent from the supervising instructor before registering for this course. During the Fall Session the student must prepare a short research proposal, and both the supervising faculty member and the Supervisor of Studies must approve the research proposal prior to the first day of classes for the Winter Session.",,Permission of the instructor,,Supervised Research,,
POLD98H3,,,"Advanced reading in special topics. This course is meant only for those students who, having completed the available basic courses in a particular field of Political Science, wish to pursue further intensive study on a relevant topic of special interest. Students are advised that they must obtain consent from the supervising instructor before registering for this course.",,Permission of the instructor.,POL495Y,Supervised Reading,,
PPGB11H3,QUANT,,"Policy analysts frequently communicate quantitative findings to decision-makers and the public in the form of graphs and tables. Students will gain experience finding data, creating effective graphs and tables, and integrating those data displays in presentations and policy briefing notes. Students will complete assignments using Excel and/or statistical programs like Tableau, STATA, SPSS and/or R.",STAB23H3 or equivalent,,,Policy Communications with Data,,
PPGB66H3,SOCIAL_SCI,,"This course provides an introduction to the study of public policy. The course will address theories of how policy is made and the influence of key actors and institutions. Topics include the policy cycle (agenda setting, policy information, decision making, implementation, and evaluation), policy durability and change, and globalization and policy making. Areas of Focus: Public Policy, Comparative Politics, Canadian Government and Politics",,Any 4.0 credits,"(POLC66H3), (PPGC66H3)",Public Policy Making,,
PPGC67H3,SOCIAL_SCI,,"This course is a survey of contemporary patterns of public policy in Canada. Selected policy studies including managing the economy from post-war stabilization policies to the rise of global capitalism, developments in the Canadian welfare state and approaches to external relations and national security in the new international order. Areas of Focus: Canadian Government and Politics; Public Policy",,[(POLB50Y3) or [POLB56H3 and POLB57H3]] or 1.5 credits at the B-level in CIT courses,(POLC67H3),Public Policy in Canada,,
PPGD64H3,SOCIAL_SCI,,"This seminar course explores some of the major theoretical approaches to the comparative analysis of public policies across countries. The course explores factors that influence a country’s policy-making process and why countries’ policies diverge or converge. Empirically, the course examines several contemporary issue areas, such as economic, social or environmental policies. Areas of Focus: Comparative Politics; Public Policy",PPGC67H3,PPGB66H3/(PPGC66H3) and [[(POLB50Y3) or [POLB56H3 and POLB57H3]] or [(POLB92H3) and (POLB93H3)]] and [1.5 credits at the C-level in POL or PPG courses],(POLD64H3),Comparative Public Policy,,
PPGD68H3,SOCIAL_SCI,,"A review and application of theories of public policy. A case- based approach is used to illuminate the interplay of evidence (scientific data, etc.) and political considerations in the policy process, through stages of agenda-setting, formulation, decision-making, implementation and evaluation. Cases will be drawn from Canada, the United States and other industrialized democracies, and include contemporary and historical policies.",,PPGB66H3 and [(POLB50Y3) or [POLB56H3 and POLB57H3]] and [1.5 credits at the C-level in POL courses],,Capstone: The Policy Process in Theory and Practice,,
PSCB90H3,NAT_SCI,,"This course provides an opportunity for students to work with a faculty member, Students will provide assistance with one of the faculty member's research projects, while also earning credit. Students will gain first-hand exposure to current research methods, and share in the excitement of discovery of knowledge acquisition. Progress will be monitored by regular meetings with the faculty member and through a reflective journal. Final results will be presented in a written report and/or a poster presentation at the end of the term. Approximately 120 hours of work is expected for the course.",Completion of at least 4.0 credits in a relevant discipline.,Permission of the Course Coordinator,,Physical Sciences Research Experience,,"Students must send an application to the course Coordinator for admission into this course. Applications must be received by the end of August for Fall enrolment, December 15th for Winter enrolment, and end of April for Summer enrolment. Typically, students enrolled in a program offered by the Department of Physical and Environmental Sciences and students who have a CGPA of at least 2.5 or higher are granted admission. Approved students will receive a signed course enrolment form that will be submitted to the Office of the Registrar. Applications will include: 1) A letter of intent indicating the student's wish to enrol in the course; 2) A list of relevant courses successfully completed by the student, as well as any relevant courses to be taken during the upcoming semester; 3) Submission of the preferred project form, indicating the top four projects of interest to the student. This form is available from the Course Coordinator, along with the project descriptions."
PSCD01H3,SOCIAL_SCI,,"Current issues involving physical science in modern society. Topics include: complex nature of the scientific method; inter- connection between theory, concepts and experimental data; characteristics of premature, pathological and pseudo- science; organization and funding of scientific research in Canada; role of communication and publishing; public misunderstanding of scientific method. These will be discussed using issues arising in chemistry, computer science, earth sciences, mathematics and physics.",,Completion of at least one-half of the credits required in any one of the programs offered by the Department of Physical & Environmental Sciences.,PHY341H,The Physical Sciences in Contemporary Society,Continued participation in one of the Physical and Environmental Sciences programs.,"Where PSCD01H3 is a Program requirement, it may be replaced by PHY341H with the approval of the Program supervisor."
PSCD02H3,NAT_SCI,,"Topics of current prominence arising in chemistry, computer science, earth sciences, mathematics and physics will be discussed, usually by faculty or outside guests who are close to the areas of prominence. Topics will vary from year to year as the subject areas evolve.",,Completion of at least 3.5 credits of a Physical Sciences program,PHY342H,Current Questions in Mathematics and Science,Continued participation in one of the Physical Sciences programs or enrolment in the Minor Program in Natural Sciences and Environmental Management,
PSCD11H3,ART_LIT_LANG,,"Communicating complex science issues to a wider audience remains a major challenge. This course will use film, media, journalism and science experts to explore the role of science and scientists in society. Students will engage with media and academic experts to get an insight into the ‘behind the scenes’ world of filmmaking, media, journalism, and scientific reporting. The course will be of interest to all students of environmental science, media, education, journalism and political science.",,Any 14.5 credits,(PSCA01H3),"Communicating Science: Film, Media, Journalism, and Society",,
PSCD50H3,NAT_SCI,,"This course provides exposure to a variety of theoretical concepts and practical methods for treating various problems in quantum mechanics. Topics include perturbation theory, variational approach, adiabatic approximation, mean field approximation, Hamiltonian symmetry implementation, light- matter interaction, second quantization.",,Any one of the following courses [PHYC56H3 or CHMC20H3 or (CHMC25H3)],"PHY456H, CHM423H, CHM421H, JCP421H",Advanced Topics in Quantum Mechanics,,
PSYA01H3,NAT_SCI,Partnership-Based Experience,"This course provides a general overview of topics including research techniques in psychology, evolutionary psychology, the biology of behaviour, learning and behaviour, sensation, perception, memory and consciousness. The most influential findings from each of these areas will be highlighted.",,,"PSY100H, PSY100Y",Introduction to Biological and Cognitive Psychology,,
PSYA02H3,SOCIAL_SCI,Partnership-Based Experience,"This course provides a general overview of topics including language, intelligence, development, motivation and emotion, personality, social psychology, stress, mental disorders and treatments of mental disorders. The most influential findings from each of these areas will be highlighted.",,,"PSY100H, PSY100Y","Introduction to Clinical, Developmental, Personality and Social Psychology",,
PSYB03H3,QUANT,,"The course will provide introductory knowledge and hands-on training in computer-based implementations of experimental design, data processing and result interpretation in psychology. The course covers implementations of experimental testing paradigms, computational explorations of empirical data structure and result visualization with the aid of specific programming tools (e.g., Matlab).",,PSYA01H3 and PSYA02H3,,Introduction to Computers in Psychological Research,PSYB07H3 or STAB22H3 or STAB23H3,"Priority will be given to students in the Specialist/Specialist Co-op programs in Psychology, Mental Health Studies, and Neuroscience (Cognitive stream). Students in the Major/Major Co-op programs in Psychology and Mental Health Studies will be admitted as space permits."
PSYB07H3,QUANT,,"This course focuses on the fundamentals of the theory and the application of statistical procedures used in research in the field of psychology. Topics will range from descriptive statistics to simple tests of significance, such as Chi-Square, t-tests, and one-way Analysis-of-Variance. A working knowledge of algebra is assumed.",,,"ANTC35H3, LINB29H3, MGEB11H3/(ECMB11H3), MGEB12H3/(ECMB12H3), PSY201H, (SOCB06H3), STAB22H3, STAB23H3, STAB52H3, STA220H, STA221H, STA250H, STA257H",Data Analysis in Psychology,,"Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology, Mental Health Studies, Neuroscience, and Paramedicine. Students in the Minor program in Psychology and Mental Health Studies will be admitted as space permits."
PSYB10H3,SOCIAL_SCI,,"Surveys a wide range of phenomena relating to social behaviour. Social Psychology is the study of how feelings, thoughts, and behaviour are influenced by the presence of others. The course is designed to explore social behaviour and to present theory and research that foster its understanding.",,PSYA01H3 and PSYA02H3,PSY220H,Introduction to Social Psychology,,
PSYB20H3,SOCIAL_SCI,,"Developmental processes during infancy and childhood. This course presents students with a broad and integrative overview of child development. Major theories and research findings will be discussed in order to understand how the child changes physically, socially, emotionally, and cognitively with age. Topics are organized chronologically beginning with prenatal development and continuing through selected issues in adolescence and life-span development.",,PSYA01H3 and PSYA02H3,PSY210H,Introduction to Developmental Psychology,,
PSYB30H3,SOCIAL_SCI,,"This course is intended to introduce students to the scientific study of the whole person in biological, social, and cultural contexts. The ideas of classical personality theorists will be discussed in reference to findings from contemporary personality research.",,PSYA01H3 and PSYA02H3,PSY230H,Introduction to Personality,,
PSYB32H3,SOCIAL_SCI,University-Based Experience,"Clinical psychology examines why people behave, think, and feel in unexpected, sometimes bizarre, and typically self- defeating ways. This course will focus on the ways in which clinicians have been trying to learn the causes of various clinical disorders and what they know about preventing and alleviating it.",,PSYA01H3 and PSYA02H3,"PSY240H, PSY340H",Introduction to Clinical Psychology,,
PSYB38H3,SOCIAL_SCI,,"An introduction to behaviour modification, focusing on attempts to regulate human behaviour. Basic principles and procedures of behaviour change are examined, including their application across different domains and populations. Topics include operant and respondent conditioning; reinforcement; extinction; punishment; behavioural data; ethics; and using behaviourally-based approaches (e.g., CBT) to treat psychopathology.",,PSYA01H3 and PSYA02H3,"PSY260H1, (PSYB45H3)",Introduction to Behaviour Modification,,
PSYB51H3,NAT_SCI,,"Theory and research on perception and cognition, including visual, auditory and tactile perception, representation, and communication. Topics include cognition and perception in the handicapped and normal perceiver; perceptual illusion, noise, perspective, shadow patterns and motion, possible and impossible scenes, human and computer scene-analysis, ambiguity in perception, outline representation. The research is on adults and children, and different species. Demonstrations and exercises form part of the course work.",,PSYA01H3 and PSYA02H3,"NROC64H3, PSY280H1",Introduction to Perception,,
PSYB55H3,NAT_SCI,,"The course explores how the brain gives rise to the mind. It examines the role of neuroimaging tools and brain-injured patients in helping to uncover cognitive networks. Select topics include attention, memory, language, motor control, decision-making, emotion, and executive functions.",,PSYA01H3 and PSYA02H3,PSY493H1,Introduction to Cognitive Neuroscience,,
PSYB57H3,NAT_SCI,,"A discussion of theories and experiments examining human cognition. This includes the history of the study of human information processing and current thinking about mental computation. Topics covered include perception, attention, thinking, memory, visual imagery, language and problem solving.",,PSYA01H3 and PSYA02H3,PSY270H,Introduction to Cognitive Psychology,,
PSYB64H3,NAT_SCI,,"A survey of the biological mechanisms underlying fundamental psychological processes intended for students who are not in a Neuroscience program. Topics include the biological basis of motivated behaviour (e.g., emotional, ingestive, sexual, and reproductive behaviours; sleep and arousal), sensory processes and attention, learning and memory, and language.",,PSYA01H3 and PSYA02H3,"NROC61H3, PSY290H",Introduction to Behavioural Neuroscience,,
PSYB70H3,SOCIAL_SCI,,"This course focuses on scientific literacy skills central to effectively consuming and critiquing research in psychological science. Students will learn about commonly used research designs, how to assess whether a design has been applied correctly, and whether the conclusions drawn from the data are warranted. Students will also develop skills to effectively find and consume primary research in psychology.",,PSYA01H3 and PSYA02H3,"(PSYB01H3), (PSYB04H3)",Methods in Psychological Science,,
PSYB80H3,SOCIAL_SCI,,"This course builds upon foundational concepts from Introduction to Psychology and examines the field of psychological science from a critical perspective. Students will explore the contextual underpinnings of the field and learn about current debates and challenges facing various subfields of psychology. Specific topics will vary by term according to the interests and expertise of the course instructor and guest lecturers. Examination of these topics will include considerations such as bias in the sciences, demographic representation in participant pools, methodological diversity, replicability, and ecological validity.",PSYB70H3,"PSYA01H3, PSYA02H3",,Psychology in Context,,"Priority will be given to students in the Specialist/Specialist Co-op, Major/Major Co-op and Minor programs in Psychology, Mental Health Studies, and Neuroscience. This course uses a Credit/No Credit (CR/NCR) grading scheme."
PSYB90H3,SOCIAL_SCI,University-Based Experience,"This course provides an introduction to, and experience in, ongoing theoretical and empirical research in any field of psychology. Supervision of the work is arranged by mutual agreement between student and instructor. Students will typically engage in an existing research project within a supervisor’s laboratory. Regular consultation with the supervisor is necessary, which will enhance communication skills and enable students to develop proficiency in speaking about scientific knowledge with other experts in the domain. Students will also develop documentation and writing skills through a final report and research journal. This course requires students to complete a permission form obtained from the Department of Psychology. This form must outline agreed-upon work that will be performed, must be signed by the intended supervisor, and returned to the Department of Psychology.",B-level courses in Psychology or Psycholinguistics,"[PSYA01H3 and PSYA02H3 with at least an 80% average across both courses] and [a minimum of 4.0 credits [including PSYA01H3 and PSYA02H3] in any discipline, with an average cGPA of 3.0] and [a maximum of 9.5 credits completed] and [enrolment in a Psychology, Mental Health Studies, Neuroscience or Psycholinguistics program].",ROP299Y and LINB98H3,Supervised Introductory Research in Psychology,,"Students receive a half credit spread across two-terms; therefore, the research in this course must take place across two consecutive terms. Priority will be given to students in the Specialist and Major programs in Psychology and Mental Health Studies, followed by students in the Specialist and Major programs in Neuroscience and Psycholinguistics. Enrolment will depend each year on the research opportunities available with each individual faculty member and the interests of the students who apply."
PSYC02H3,SOCIAL_SCI,University-Based Experience,"How we communicate in psychology and why. The differences between scientific and non-scientific approaches to behaviour and their implications for communication are discussed. The focus is on improving the student's ability to obtain and organize information and to communicate it clearly and critically, using the conventions of the discipline.",,[PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,,Scientific Communication in Psychology,,"Priority will be given to students in the Specialist/Specialist Co-op programs in Psychology, Mental Health Studies, and Neuroscience (Cognitive stream), and the Specialist Co-op program in Neuroscience (Stage 1). Students in the Major/Major Co-op programs in Psychology and Mental Health Studies will be admitted as space permits."
PSYC03H3,QUANT,,"The course will provide advanced knowledge and hands-on training in computer-based implementations of experimental design, data processing and result interpretation in psychology. The course covers implementations of experimental testing paradigms, computational explorations of empirical data structure, and result visualization with the aid of specific programming tools (e.g., Matlab).",,PSYB03H3,,Computers in Psychological Research: Advanced Topics,,Priority will be given to students in the Specialist/Specialist Co-op program in Neuroscience (Cognitive stream). Students in the Specialist/Specialist Co- op and Major/Major Co-op programs in Psychology and Mental Health Studies will be admitted as space permits.
PSYC08H3,QUANT,,"The primary focus of this course is on the understanding of Analysis-of-Variance and its application to various research designs. Examples will include a priori and post hoc tests. Finally, there will be an introduction to multiple regression, including discussions of design issues and interpretation problems.",,[PSYB07H3 or STAB23H3 or STAB22H3] and PSYB70H3,"(STAC52H3), PSY202H",Advanced Data Analysis in Psychology,,"Priority will be given to students in the Specialist/Specialist Co-op programs in Psychology, Mental Health Studies, Neuroscience, and Paramedicine. Students in the Major/Major Co-op programs in Psychology, Mental Health Studies, and Neuroscience will be permitted if space permits."
PSYC09H3,QUANT,University-Based Experience,"An introduction to multiple regression and its applications in psychological research. The course covers the data analysis process from data collection to interpretation: how to deal with missing data, the testing of assumptions, addressing problem of multicolinearity, significance testing, and deciding on the most appropriate model. Several illustrative data sets will be explored in detail. The course contains a brief introduction to factor analysis. The goal is to provide the students with the skills and understanding to conduct and interpret data analysis in non-experimental areas of psychology.",,[PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,"LINC29H3, MGEC11H3",Applied Multiple Regression in Psychology,,"Priority will be given to students in the Specialist/Specialist Co-op programs in Psychology, Mental Health Studies, and Neuroscience (Cognitive stream). Students in the Major/Major Co-op programs in Psychology, Mental Health Studies, and Neuroscience will be permitted if space permits."
PSYC10H3,SOCIAL_SCI,,"This course examines the psychology of judgment and decision making, incorporating perspectives from social psychology, cognitive psychology, and behavioral economics. Understanding these topics will allow students to identify errors and systematic biases in their own decisions and improve their ability to predict and influence the behavior of others.",,[PSYB10H3 or PSYB57H3 or PSYC57H3] and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,,Judgment and Decision Making,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
PSYC12H3,SOCIAL_SCI,,"A detailed examination of selected social psychological topics introduced in PSYB10H3. This course examines the nature of attitudes, stereotypes and prejudice, including their development, persistence, and automaticity. It also explores the impact of stereotypes on their targets, including how stereotypes are perceived and how they affect performance, attributions, and coping.",,PSYB10H3 and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,PSY322H,The Psychology of Prejudice,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
PSYC13H3,SOCIAL_SCI,University-Based Experience,"A comprehensive survey of how cognitive processes (e.g., perception, memory, judgment) influence social behaviour. Topics include the construction of knowledge about self and others, attitude formation and change, influences of automatic and controlled processing, biases in judgment and choice, interactions between thought and emotion, and neural specializations for social cognition.",,[PSYB10H3 or PSYB57H3] and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,"PSY326H, PSY473H, PSY417H",Social Cognition: Understanding Ourselves and Others,,"Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology, Mental Health Studies, and Neuroscience. Students in the Minor program in Psychology will be admitted as space permits."
PSYC14H3,SOCIAL_SCI,,"A survey of the role of culture in social thought and behaviour. The focus is on research and theory that illustrate ways in which culture influences behaviour and cognition about the self and others, emotion and motivation. Differences in individualism and collectivism, independence and interdependence as well as other important orientations that differ between cultures will be discussed. Social identity and its impact on acculturation in the context of immigration will also be explored.",,PSYB10H3 and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,PSY321H,Cross-Cultural Social Psychology,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
PSYC15H3,SOCIAL_SCI,,"Community psychology is an area of psychology that examines the social, cultural, and structural influences that promote positive change, health, and empowerment among communities and community members. This course will offer an overview of the foundational components of community psychology including its theories, research methods, and applications to topics such as community mental health, prevention programs, interventions, the community practitioner as social change agent, and applications of community psychology to other settings and situations.",,PSYB10H3 and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,,Foundations in Community Psychology,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
PSYC16H3,SOCIAL_SCI,,"The course will examine different aspects of imagination in a historical context, including creativity, curiosity, future- mindedness, openness to experience, perseverance, perspective, purpose, and wisdom along with its neural foundations.",,PSYB10H3 and [PSYB20H3 or PSYB30H3 or PSYB51H3 or PSYB55H3 or PSYB57H3] and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,,Psychology of Imagination,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
PSYC17H3,SOCIAL_SCI,,"What happens when two (or more) minds meet—how do they interact and interconnect? Specifically, how do people “get on the same page,” and what are barriers that might stand in the way? Guided by these questions, this course will provide a broad overview of the psychological phenomena and processes that enable interpersonal connection. We will examine the various ways that people’s inner states— thoughts, feelings, intentions, and identities—connect with one another. We will study perspectives from both perceivers (i.e., how to understand others) and targets (i.e., how to be understood), at levels of dyads (i.e., how two minds become interconnected) and groups (i.e., how minds coordinate and work collectively). Throughout the course, we will consider challenges to effective interpersonal interactions, and solutions and strategies that promote and strengthen interconnection. A range of perspectives, including those from social, cognitive, personality, developmental, and cultural psychology, as well as adjacent disciplines such as communication, will be considered.",,PSYB10H3 and [PSYB07H3 or STAB22H3 or STAB23H3] and PSYB70H3,,Meeting Minds: The Psychology of Interpersonal Interactions,,Priority will be given to students in the Specialist/Specialist Co-op and Major/Major Co-op programs in Psychology and Mental Health Studies. Students in the Minor program in Psychology will be admitted as space permits.
